CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC,lig_0
CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2,lig_1
CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,lig_2
CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P([C@@]3(C[C@@H]4C5)C[C@H](C4)C[C@H]5C3)[C@]6(C7)C[C@@H](C[C@@H]7C8)C[C@@H]8C6)C(OC)=CC=C2OC,lig_3
COC1=NOC(C(OCC)=O)=C1,add_0
C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=NOC=C1,add_1
C12=C(C=CC=C2)ON=C1,add_2
CC1=C(C(OCC)=O)C=NO1,add_3
O=C(OC)C1=NOC(C2=CC=CS2)=C1,add_4
C1(C2=CC=CC=C2)=CC=NO1,add_5
O=C(OC)C1=NOC(C2=CC=CO2)=C1,add_6
CC1=CC(C(OCC)=O)=NO1,add_7
CC1=NOC(C(OCC)=O)=C1,add_8
CCOC(C1=NOC=C1)=O,add_9
C1(C2=CC=CC=C2)=CON=C1,add_10
CCOC(C1=CON=C1)=O,add_11
C12=CON=C1C=CC=C2,add_12
CC1=CC=NO1,add_13
C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=NO1,add_14
CC1=NOC=C1,add_15
C1(C2=CC=CC=C2)=NOC=C1,add_16
O=C(OC)C1=CC=NO1,add_17
FC(C=CC=C1F)=C1C2=CC=NO2,add_18
CC1=NOC(C2=CC=CC=C2)=C1,add_19
CC1=CC(N2C=CC=C2)=NO1,add_20
CC1=CC(C)=NO1,add_21
CN1CCCN2C1=NCCC2,base_0
CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,base_1
CC(C)(C)/N=C(N(C)C)/N(C)C,base_2
BrC1=CN=CC=C1,ar_ha_0
ClC1=CC=C(C(F)(F)F)C=C1,ar_ha_1
ClC1=NC=CC=C1,ar_ha_2
IC1=CC=C(OC)C=C1,ar_ha_3
IC1=NC=CC=C1,ar_ha_4
IC1=CC=C(C(F)(F)F)C=C1,ar_ha_5
ClC1=CN=CC=C1,ar_ha_6
IC1=CN=CC=C1,ar_ha_7
BrC1=CC=C(C(F)(F)F)C=C1,ar_ha_8
BrC1=CC=C(CC)C=C1,ar_ha_9
ClC1=CC=C(CC)C=C1,ar_ha_10
BrC1=NC=CC=C1,ar_ha_11
IC1=CC=C(CC)C=C1,ar_ha_12
BrC1=CC=C(OC)C=C1,ar_ha_13
ClC1=CC=C(OC)C=C1,ar_ha_14
