Observed Value 1,Predicted Value 1,Observed Value 2,Predicted Value 2,Observed Value 3,Predicted Value 3,Observed Value 4,Predicted Value 4
0.240111033,0.4389602,0.501758501,0.6504868,-0.264892334,0.111668766,0.289903935,0.3651894
0.858676701,0.93590325,1.074990526,0.69492334,-0.240111033,-0.060613617,0.559297578,0.6769753
0.749510758,0.91463953,1.17989059,0.88688195,-0.118834511,0.31707168,0.820945045,0.7043827
0.419377753,0.60637647,0.446373616,0.6176442,0.0,0.049069643,0.289903935,0.28883317
0.419377753,0.5583037,0.5302345,0.63079005,0.023690626,0.27831048,0.142812956,0.14436863
0.446373616,0.7597738,0.749510758,0.7338807,0.820945045,0.9442706,0.0,0.0014702762
-0.240111033,0.089630485,-0.264892334,-0.16108063,-0.118834511,0.13023964,0.315171704,0.27101478
-0.166908496,-0.010690153,-0.240111033,0.25146195,1.152342057,1.1024439,1.238109014,1.4125274
0.215535446,0.31072712,0.264892334,0.43799815,0.5302345,0.59632313,1.238109014,1.6269848
-0.191142101,-0.04599461,-0.215535446,0.23811145,0.749510758,0.65933454,1.268975128,1.1841065
0.264892334,0.38902223,0.289903935,0.4404083,0.5302345,0.62601274,1.446325365,1.4263986
0.501758501,0.78917354,0.820945045,0.70508826,0.366586769,0.56792,1.301167112,1.2957475
0.473819986,0.72422093,-0.142812956,0.28225926,1.301167112,0.9164281,1.301167112,1.0766093
0.501758501,0.7904144,-0.118834511,0.26695916,0.264892334,0.32151657,1.531802956,1.4607978
-0.240111033,0.108495,0.0,0.1414658,0.366586769,0.7583605,1.301167112,1.2539703
-0.264892334,0.13575852,0.0,0.42812464,0.619408639,1.3681476,1.629422542,1.4418466
0.023690626,0.14228195,0.023690626,0.4619822,0.240111033,0.8427912,3.134624572,2.729393
0.023690626,0.047439605,0.820945045,0.6949231,0.118834511,0.3006631,2.721168735,2.2811377
-0.07114786,0.11470866,1.17989059,1.0608326,0.0,0.10192591,1.684091101,1.8007475
0.5302345,0.9249434,-0.118834511,0.29524642,0.264892334,0.6316618,1.370103771,1.2078215
0.589002233,0.59681946,1.152342057,0.89690536,1.027207628,1.4180909,1.301167112,1.2947334
-0.07114786,0.004446745,0.392793996,0.61193955,1.125722444,1.1517408,1.301167112,1.1726428
1.074990526,1.4020135,0.858676701,0.70689684,1.125722444,1.183258,1.370103771,1.1898986
0.839627562,1.1236813,0.559297578,0.6731835,1.531802956,1.9575808,1.370103771,1.1243795
0.392793996,0.56207097,0.5302345,0.6915813,2.478059282,1.6415437,0.820945045,0.8617541
0.715545793,0.89374703,0.501758501,0.6643977,1.743657522,1.398321,0.315171704,0.47114453
0.501758501,0.6942045,0.589002233,0.75047445,0.501758501,0.37903458,0.340722979,0.3184595
0.473819986,0.61582035,1.125722444,0.85599124,0.682601444,0.8583689,0.619408639,0.43546084
0.240111033,0.6626833,0.5302345,0.6978817,0.340722979,0.83953345,-0.419377753,-0.46859252
0.559297578,0.6151734,0.650583556,0.72978544,0.142812956,0.47344482,-0.240111033,-0.3702993
0.406036647,0.6886297,0.749510758,0.73424464,-0.023690626,0.08291641,0.240111033,0.06689401
0.650583556,0.5237913,0.419377753,0.7198809,0.240111033,0.6519715,0.047400225,0.081165135
0.559297578,0.68378884,0.446373616,0.742262,1.238109014,1.4513277,0.023690626,-0.11042479
0.446373616,0.6145851,0.5302345,0.65336686,1.074990526,1.136336,0.0,-0.10854573
0.559297578,0.59400934,1.208449001,0.9566978,1.17989059,1.1611328,0.473819986,0.5718749
0.5302345,0.588499,0.820945045,0.54354894,1.301167112,1.4088006,0.682601444,0.49263757
0.858676701,1.0168307,0.366586769,0.6610181,1.531802956,2.0849576,1.17989059,1.1967775
0.302504127,0.6465749,1.531802956,0.9760225,1.578863981,1.6047105,-0.240111033,-0.23298053
0.446373616,0.6088168,1.531802956,1.1275227,1.743657522,1.462892,1.125722444,0.992293
1.301167112,1.3072524,1.370103771,0.559997,0.289903935,0.36806148,1.099959936,0.95810527
1.301167112,1.1330454,1.301167112,0.6848168,0.559297578,0.84109557,1.17989059,0.5459056
1.301167112,1.0165985,1.301167112,0.53138405,0.289903935,0.86739576,0.473819986,0.44988832
1.301167112,0.958574,1.446325365,1.0253615,0.142812956,0.50387233,0.501758501,0.5623893
1.074990526,1.2224665,0.715545793,0.70398796,0.0,0.09375948,0.366586769,0.41709164
1.17989059,1.2961669,0.820945045,0.8888387,0.315171704,0.6499422,0.501758501,0.43342438
1.125722444,1.199373,0.446373616,0.8127879,1.125722444,1.520123,0.619408639,0.4538283
0.191142101,0.62988394,0.589002233,0.7405582,1.238109014,1.5165142,0.252474461,0.37319526
0.589002233,0.61456364,0.820945045,0.75727206,1.301167112,1.466239,0.340722979,0.344733
0.749510758,0.5136305,-0.118834511,0.14028537,1.629422542,2.1660628,1.074990526,0.99542826
0.142812956,0.2622375,-0.07114786,0.22500049,1.684091101,1.6947407,1.074990526,0.99092776
0.858676701,0.87394565,0.366586769,0.57064617,1.370103771,1.1482456,0.446373616,0.17518342
0.191142101,0.53584874,-0.083041947,0.3578667,1.370103771,1.1871411,0.473819986,0.36001268
0.166908496,0.5776921,0.366586769,0.6103042,-0.118834511,0.10083741,0.589002233,0.5064839
0.166908496,0.39811915,0.589002233,0.6618783,-0.07114786,-0.034688517,0.501758501,0.5066113
0.118834511,0.085179865,0.501758501,0.7491486,0.501758501,0.8428074,0.118834511,0.05277495
0.0,0.25373936,0.820945045,0.7540287,0.118834511,0.40942508,0.118834511,0.13583434
0.340722979,0.38503987,0.118834511,0.2591509,0.023690626,0.019305587,1.125722444,0.9711023
1.125722444,1.2353342,0.118834511,0.25848538,0.047400225,0.2793913,0.191142101,0.12983438
0.858676701,1.1321168,0.023690626,0.4087504,0.858676701,0.953869,1.125722444,0.97935635
1.17989059,1.2207825,0.023690626,0.45519286,0.023690626,0.19422376,1.238109014,1.1296245
1.17989059,1.3579044,0.047400225,0.47915936,0.589002233,0.64755493,1.074990526,1.0320187
1.125722444,1.1406627,0.5302345,0.7050984,0.858676701,0.7303614,1.238109014,1.0393864
1.099959936,1.2039022,0.858676701,0.77043474,0.650583556,0.67754525,1.074990526,0.98560303
1.074990526,1.1913307,1.238109014,1.0340068,0.501758501,0.6152427,0.878113519,0.91789156
1.370103771,1.2089179,0.023690626,0.4306211,1.487753909,1.1386608,1.125722444,0.8364603
1.882001124,1.9189103,0.392793996,0.70708084,-0.419377753,0.13451636,1.446325365,1.340944
